BindingDB MonomerID,IC50 (nM),Ligand SMILES
wild_50508762,2.2,[2H]C([2H])([2H])c1cnc(Cc2nc3cnc4ccc(Cl)cc4c3n2[C@@H]2CCO[C@H](C)C2)cn1
wild_185378,57,[C-]#[N+]C1CCCN(C1)c1ncnc2[nH]cc(-c3cccc(c3)C#N)c12
wild_185550,42.2,[C-]#[N+]C1CN(CCO1)c1ncnc2[nH]cc(-c3cccc(c3)C#N)c12
wild_50094871,450,[O-][N+](=O)c1cc(ccc1Nc1ccc2[nH]c(=O)[nH]c2c1)C#N
wild_50602996,5110,[O-][N+](=O)c1cc(ccc1Nc1ccc2[nH]c(=O)n(-c3ccncc3)c2c1)C#N
wild_50602997,6.2,[O-][N+](=O)c1cc(ccc1Nc1ccc2[nH]nc(-c3ccncc3)c2c1)C#N
wild_50603001,10,[O-][N+](=O)c1cc(ccc1Oc1ccc2[nH]nc(-c3ccncc3)c2c1)C#N
wild_50301372,7270,[O-][N+](=O)c1ccc(cc1)\N=C1/C(=O)Nc2ccccc12
wild_50603000,54,[O-][N+](=O)c1cccc(C#N)c1Nc1ccc2[nH]nc(-c3ccncc3)c2c1
wild_50602999,4,[O-][N+](=O)c1ccccc1Nc1ccc2[nH]nc(-c3ccncc3)c2c1
wild_50269788,63,Brc1ccc(OCc2ccc(cc2)C#N)c(c1)C(=O)Nc1cccnc1
wild_50269789,13,Brc1ccc(OCc2ccccc2)c(c1)C(=O)Nc1cccnc1
wild_50269804,50,Brc1ccc(OCc2ccccc2)c(c1)C(=O)Nc1cccnn1
wild_50269803,20,Brc1ccc(OCc2ccccc2)c(c1)C(=O)Nc1ccnnc1
wild_50269805,1995,Brc1ccc(OCc2ccccc2)c(c1)C(=O)Nc1cnccn1
wild_50269793,2512,Brc1ccc(OCc2ccccc2)c(c1)C(=O)Nc1ncco1
wild_50456457,20,Brc1ccc2NC(=O)C(=NN(c3ccccc3)c3ccccc3)c2c1
wild_50456446,490,Brc1ccc2NC(=O)C(=NN3CCCCC3)c2c1
wild_50456461,1020,Brc1ccc2NC(=O)C(=NN3CCOCC3)c2c1
wild_50526889,260,Brc1ccc2nc(NC(=O)c3ccc(cc3)N3CCOCC3)sc2c1
wild_50432046,32,Brc1cccc(Sc2ccc3nnc(-c4cncs4)n3n2)c1
wild_185454,6,Brc1cncc(c1)-c1c[nH]c2ncnc(N3CCOCC3)c12
wild_593039,300,C(Oc1ccnc(Nc2ccc(cc2)N2CCOCC2)n1)C1CCNCC1
wild_620703,6.72,C[C@@]1(O)[C@H]2CC[C@@H]1CN(C2)c1cc2nc(Nc3cnn(c3)C3CC3)ncc2cc1Cl
wild_620757,6.62,C[C@@]1(O)[C@H]2CC[C@@H]1CN(C2)c1cc2nc(Nc3cnn(c3Cl)C34CC(C3)C4)ncc2cc1Cl
wild_620760,23,C[C@@]1(O)[C@H]2CC[C@@H]1CN(C2)c1cc2nc(Nc3cnn(C4CC4(F)F)c3Cl)ncc2cc1Cl
wild_620707,11.2,C[C@@]1(O)[C@H]2CC[C@@H]1CN(C2)c1cc2nc(Nc3cnn(C4CC4)c3Cl)ncc2cc1Cl
wild_620724,1.54,C[C@@]1(O)COCC11CCN(CC1)c1cc2nc(Nc3cnn(C4CC4)c3Cl)ncc2cc1Cl
wild_577555,4,C[C@@H](C(F)F)n1cc(Nc2ncc3cc(C#N)n([C@H]4COC[C@@H]4C)c3n2)c(OC2COC2)n1
wild_677999,32.4,C[C@@H](C1CC1)n1cc(NC(=O)c2csc(n2)-c2cn[nH]c2)cn1
wild_50431897,48,C[C@@H](Nc1c(cnc2cc(ccc12)-c1ccc(cc1)-n1ccoc1=O)C#N)C1CC1
wild_50431898,46,C[C@@H](Nc1c(cnc2cc(ccc12)-c1ccc(cc1)S(C)(=O)=O)C#N)C1CC1
wild_282670,1,C[C@@H](Nc1c(nnc2cc(ccc12)-c1ccc(cc1)N1CCOC1=O)C(N)=O)C1CC1
wild_282621,10,C[C@@H](Nc1c(nnc2cc(ccc12)-c1ccc(cc1)N1CCOCC1=O)C(N)=O)C1CC1
wild_282585,560,C[C@@H](Nc1c(nnc2cc(ccc12)-c1ccc(cc1)S(C)(=O)=O)C#N)C1CC1
wild_50428716,1,C[C@@H](Nc1c(nnc2cc(ccc12)-c1ccc(cc1)S(C)(=O)=O)C(N)=O)C1CC1
wild_50428707,965,C[C@@H](Nc1c(nnc2cc(ccc12)-c1ccc(cc1)S(C)(=O)=O)C(N)=O)c1ccccc1
wild_282595,63,C[C@@H](Nc1c(nnc2cc(ccc12)-c1ccc(cc1)S(C)(=O)=O)C(N)=O)C1CCOCC1
wild_282625,1,C[C@@H](Nc1c(nnc2cc(ccc12)-c1ccc2CC(=O)Nc2c1)C(N)=O)C1CC1
wild_282611,11,C[C@@H](Nc1c(nnc2cc(ccc12)-c1ccc2NC(=O)Cc2c1)C(N)=O)C1CC1
wild_282616,1,C[C@@H](Nc1c(nnc2cc(ccc12)-c1cccc(c1)S(C)(=O)=O)C(N)=O)C1CC1
wild_282626,2,C[C@@H](Nc1c(nnc2cc(ccc12)-c1cccc2CC(=O)Nc12)C(N)=O)C1CC1
wild_282624,18,C[C@@H](Nc1c(nnc2cc(ccc12)-c1cccc2NC(=O)Cc12)C(N)=O)C1CC1
wild_282615,10,C[C@@H](Nc1c(nnc2cc(ccc12)-c1ccccc1)C(N)=O)C1CC1
wild_282622,460,C[C@@H](Nc1c(nnc2cc(ccc12)-c1ccccc1Cl)C(N)=O)C1CC1
wild_282613,4300,C[C@@H](Nc1c(nnc2cc(ccc12)-c1ccccc1OC(F)(F)F)C(N)=O)C1CC1
wild_282628,430,C[C@@H](Nc1c(nnc2cc(ccc12)-c1ccccc1S(C)(=O)=O)C(N)=O)C1CC1
wild_282627,8,C[C@@H](Nc1c(nnc2cc(ccc12)-c1ccn(C)c(=O)c1)C(N)=O)C1CC1
wild_50428703,2,C[C@@H](Nc1c(nnc2cc(ccc12)-c1ccncc1)C(N)=O)C1CC1
wild_282637,740,C[C@@H](Nc1c(nnc2cc(ccc12)-c1ccncc1)C(N)=O)c1ccccc1
wild_282610,380,C[C@@H](Nc1c(nnc2cc(ccc12)-c1cncc2ccccc12)C(N)=O)C1CC1
wild_282606,1,C[C@@H](Nc1c(nnc2cc(ccc12)-c1cnn(C)c1)C(N)=O)C1CC1
wild_50512318,0.001,C[C@@H](Oc1cc(ccc1Nc1nc(O[C@H]2CC[C@@](C)(O)CC2)c2c(Cl)c[nH]c2n1)C(=O)N(C)C)C(F)(F)F
wild_577571,1,C[C@@H](Oc1nn(C)cc1Nc1ncc2cc(C#N)n([C@H]3COC[C@@H]3C)c2n1)C(F)(F)F
wild_577561,27,C[C@@H](ON(c1cnn(c1)C1COC1)c1ncc2cc(C#N)n([C@H]3COC[C@@H]3C)c2n1)C(F)(F)F
wild_50590218,2,C[C@@H]1[C@@H](O)CN1c1cc(NC(=O)c2cccc(n2)-c2cnn(C)c2)c(cn1)C(F)(F)F
wild_50590219,3,C[C@@H]1[C@H](O)CCN1c1cc(NC(=O)c2cccc(n2)-c2cnn(C)c2)c(cn1)C(F)(F)F
wild_50612239,58,C[C@@H]1C(C(=O)Nc2ccc3[nH]c(=O)n(C)c3c2)=C(C)N(C)c2nnnn12
wild_50612223,0.82,C[C@@H]1C(C(=O)Nc2ccc3[nH]nc(C)c3c2)=C(C)N(C)c2nnnn12
wild_50612226,1.2,C[C@@H]1C(C(=O)Nc2ccc3[nH]nc(-c4ccnc(c4)N4CCOCC4)c3c2)=C(C)N(C)c2nnnn12
wild_50612225,12,C[C@@H]1C(C(=O)Nc2ccc3[nH]nc(-c4ccncc4)c3c2)=C(C)N(C)c2nnnn12
wild_50612221,1.6,C[C@@H]1C(C(=O)Nc2ccc3[nH]ncc3c2)=C(C)N(C)c2nnnn12
wild_50612240,55,C[C@@H]1C(C(=O)Nc2ccc3C(=O)NC(=O)c3c2)=C(C)N(C)c2nnnn12
wild_50612241,32,C[C@@H]1C(C(=O)Nc2ccc3C(=O)NCc3c2)=C(C)N(C)c2nnnn12
wild_50612242,12,C[C@@H]1C(C(=O)Nc2ccc3c(N)nccc3c2)=C(C)N(C)c2nnnn12
wild_551379,17.3,C[C@@H]1C[C@@H](CCO1)n1c(Cc2cc(C)ncn2)nc2cnc3ccc(cc3c12)C(F)(F)F
wild_551394,18,C[C@@H]1C[C@@H](CCO1)n1c(Cc2cc(C)on2)nc2cnc3ccc(cc3c12)C(F)F
wild_50508761,5.6,C[C@@H]1C[C@@H](CCO1)n1c(Cc2cn(C)nn2)nc2cnc3ccc(cc3c12)C(F)(F)F
wild_551331,7.18,C[C@@H]1C[C@@H](CCO1)n1c(Cc2cn3nc(C)sc3n2)nc2cnc3ccc(F)cc3c12
wild_50508764,4.1,C[C@@H]1C[C@@H](CCO1)n1c(Cc2cnc(C)cn2)nc2cnc3ccc(cc3c12)C(F)(F)F
wild_551316,9.72,C[C@@H]1C[C@@H](CCO1)n1c(Cc2cnc(C)cn2)nc2cnc3ccc(cc3c12)C(F)F
wild_551399,3.21,C[C@@H]1C[C@@H](CCO1)n1c(Cc2cnc(C)cn2)nc2cnc3ccc(Cl)cc3c12
wild_551342,17.4,C[C@@H]1C[C@@H](CCO1)n1c(Cc2cnc(cn2)C(F)(F)F)nc2cnc3ccc(cc3c12)C#N
wild_551376,16.9,C[C@@H]1C[C@@H](CCO1)n1c(Cc2cnc(cn2)C(F)(F)F)nc2cnc3ccc(F)cc3c12
wild_551398,4.6,C[C@@H]1C[C@@H](CCO1)n1c(Cc2cnc(CO)cn2)nc2cnc3ccc(F)cc3c12
wild_551372,7.39,C[C@@H]1C[C@@H](CCO1)n1c(Cc2cscn2)nc2cnc3ccc(cc3c12)C(F)(F)F
wild_551366,6.96,C[C@@H]1C[C@@H](CCO1)n1c(Cc2csnn2)nc2cnc3ccc(cc3c12)C(F)(F)F
wild_551364,5.79,C[C@@H]1C[C@@H](CCO1)n1c(Cc2nccs2)nc2cnc3ccc(cc3c12)C#N
wild_551361,5.35,C[C@@H]1C[C@@H](CCO1)n1c(Cc2nccs2)nc2cnc3ccc(Cl)cc3c12
wild_551367,9.8,C[C@@H]1C[C@@H](CCO1)n1c(Cc2nccs2)nc2cnc3ccc(F)cc3c12
wild_551373,13.7,C[C@@H]1C[C@@H](CCO1)n1c(Cc2nnc(C)o2)nc2cnc3ccc(cc3c12)C(F)(F)F
wild_551377,26.1,C[C@@H]1C[C@@H](CCO1)n1c(Cc2nnc(C)s2)nc2cnc3ccc(cc3c12)C(F)(F)F
wild_551383,9.4,C[C@@H]1C[C@@H](CCO1)n1c(CCC#N)nc2cnc3ccc(Cl)cc3c12
wild_551393,14.7,C[C@@H]1C[C@@H](CCO1)n1c(Cn2cc(C)nn2)nc2cnc3ccc(cc3c12)C(F)F
wild_551369,8.32,C[C@@H]1C[C@@H](CCO1)n1c(Cn2cncn2)nc2cnc3ccc(cc3c12)C(F)(F)F
wild_551384,16.9,C[C@@H]1C[C@@H](CCO1)n1c(Cn2nnc(C)n2)nc2cnc3ccc(cc3c12)C(F)(F)F
wild_522399,6.75,C[C@@H]1C[C@@H](CCO1)n1c(nc2cnc3ccc(cc3c12)C#N)[C@@H]1CC[C@H](F)CC1
wild_522397,6.29,C[C@@H]1C[C@@H](CCO1)n1c(nc2cnc3ccc(cc3c12)C#N)[C@H]1CC[C@@H](F)C1
wild_522400,16.2,C[C@@H]1C[C@@H](CCO1)n1c(nc2cnc3ccc(cc3c12)C#N)[C@H]1CCOC1
wild_522398,15.2,C[C@@H]1C[C@@H](CCO1)n1c(nc2cnc3ccc(cc3c12)C#N)C1CCC(F)C1
wild_551333,20.6,C[C@@H]1C[C@@H](CCO1)n1c(nc2cnc3ccc(cc3c12)C#N)C1CCCC1
wild_522405,16.6,C[C@@H]1C[C@@H](CCO1)n1c(nc2cnc3ccc(cc3c12)C(F)F)[C@H]1CCOC1
wild_551317,14.2,C[C@@H]1C[C@@H](CCO1)n1c(nc2cnc3ccc(Cl)cc3c12)C(O)c1cnc(C)cn1
wild_522386,8.99,C[C@@H]1C[C@@H](CCO1)n1c(nc2cnc3ccc(Cl)cc3c12)C1C[C@H](F)C1
wild_522421,5.68,C[C@@H]1C[C@@H](CCO1)n1c(nc2cnc3ccc(F)cc3c12)C1CCC(F)C1
wild_624782,19,C[C@@H]1C[C@@H](CCO1)n1nc2OCCCn3nc(Cl)c4cnc(Nc2c1C)nc34
wild_522387,6.81,C[C@@H]1C[C@@H](CCO1)Nc1c(NC(=O)C2C[C@@](C)(F)C2)cnc2ccc(Cl)cc12
wild_522385,7.32,C[C@@H]1C[C@@H](CCO1)Nc1c(NC(=O)C2CC[C@H](F)CC2)cnc2ccc(Cl)cc12
wild_551312,11.8,C[C@@H]1CC(CCO1)n1c(Cc2cn(C)nn2)nc2cnc3ccc(cc3c12)C(F)(F)F
wild_522402,10.4,C[C@@H]1CC(CCO1)n1c(nc2cnc3ccc(cc3c12)C#N)C1C[C@@](C)(F)C1
wild_522403,16.1,C[C@@H]1CC(CCO1)n1c(nc2cnc3ccc(cc3c12)C#N)C1C[C@H](F)C1
wild_522401,15.6,C[C@@H]1CC(CCO1)n1c(nc2cnc3ccc(cc3c12)C#N)C1CCC(F)(F)CC1
wild_522404,17.7,C[C@@H]1CC(CCO1)n1c(nc2cnc3ccc(cc3c12)C#N)C1CCCCC1(F)F
wild_522410,9.79,C[C@@H]1CC(CCO1)n1c(nc2cnc3ccc(cc3c12)C(F)(F)F)C1CCOC1
wild_522388,12.3,C[C@@H]1CC(CCO1)n1c(nc2cnc3ccc(Cl)cc3c12)[C@H]1CCOC1
wild_522389,16.4,C[C@@H]1CC(CCO1)n1c(nc2cnc3ccc(Cl)cc3c12)C1CC(C)(F)C1
wild_522395,20.3,C[C@@H]1CC(CCO1)n1c(nc2cnc3ccc(Cl)cc3c12)C1CCC(F)(F)C1
wild_522392,15.9,C[C@@H]1CC(CCO1)n1c(nc2cnc3ccc(Cl)cc3c12)C1CCC(F)(F)CC1
wild_522393,18.5,C[C@@H]1CC(CCO1)n1c(nc2cnc3ccc(Cl)cc3c12)C1CCCO1
wild_522391,16.3,C[C@@H]1CC(CCO1)n1c(nc2cnc3ccc(Cl)cc3c12)C1CCOCC1
wild_522396,23,C[C@@H]1CC(CCO1)n1c(nc2cnc3ccc(Cl)cc3c12)C1COC1
wild_522415,22,C[C@@H]1CC(CCO1)n1c(nc2cnc3ccc(F)cc3c12)C1C[C@@](C)(F)C1
wild_620679,20.2,C[C@@H]1CC[C@@H](C)N1c1ccc2cnc(Nc3cnn(CCF)c3C)nc2c1
wild_50059368,69,C[C@@H]1CCCN(C1)c1ncnc2[nH]cc(-c3cccc(c3)C#N)c12
wild_50582709,166,C[C@@H]1CCCN1c1[nH]c2ncnc(N)c2c1C#N
wild_50582713,217,C[C@@H]1CCCN1c1c(C#N)c2c(N)nc(N)nc2n1C
wild_50582720,27,C[C@@H]1CCCN1c1c(C#N)c2c(N)nc(Nc3c[nH]nc3C)nc2n1C
wild_50582716,206,C[C@@H]1CCCN1c1c(C#N)c2c(N)nc(Nc3ccn(C)n3)cc2n1C
wild_50582722,358,C[C@@H]1CCCN1c1c(C#N)c2c(N)nc(Nc3cn(C)nc3C(F)(F)F)nc2n1C
wild_50582719,30,C[C@@H]1CCCN1c1c(C#N)c2c(N)nc(Nc3cn(C)nc3C)nc2n1C
wild_50582721,21,C[C@@H]1CCCN1c1c(C#N)c2c(N)nc(Nc3cn(C)nc3Cl)nc2n1C
wild_50582723,42,C[C@@H]1CCCN1c1c(C#N)c2c(N)nc(Nc3cn(CC(C)(C)O)nc3C)nc2n1C
wild_50582725,51,C[C@@H]1CCCN1c1c(C#N)c2c(N)nc(Nc3cn(CC4(O)COC4)nc3C)nc2n1C
wild_50582729,12,C[C@@H]1CCCN1c1c(C#N)c2c(N)nc(Nc3cn(nc3C)C3CCOC3)nc2n1C
